us-east-1,t2,1,1,0.0116
us-east-1,t2,1,2,0.023
us-east-1,t2,2,4,0.0464
us-east-1,t2,2,8,0.0928
us-east-1,t2,4,16,0.1856
us-east-1,t2,8,32,0.3712
us-east-1,m5,2,8,0.096
us-east-1,m5,4,16,0.192
us-east-1,m5,8,32,0.384
us-east-1,m5,16,64,0.768
us-east-1,m5,48,192,2.304
us-east-1,m5,96,384,4.608
us-east-1,m5d,2,8,0.113
us-east-1,m5d,4,16,0.226
us-east-1,m5d,8,32,0.452
us-east-1,m5d,16,64,0.904
us-east-1,m5d,48,192,2.712
us-east-1,m5d,96,384,5.424
us-east-1,m4,2,8,0.1
us-east-1,m4,4,16,0.2
us-east-1,m4,8,32,0.4
us-east-1,m4,16,64,0.8
us-east-1,m4,40,160,2
us-east-1,m4,64,256,3.2
us-east-1,c5,2,4,0.085
us-east-1,c5,4,8,0.17
us-east-1,c5,8,16,0.34
us-east-1,c5,16,32,0.68
us-east-1,c5,36,72,1.53
us-east-1,c5,72,144,3.06
us-east-1,c5d,2,4,0.096
us-east-1,c5d,4,8,0.192
us-east-1,c5d,8,16,0.384
us-east-1,c5d,16,32,0.768
us-east-1,c5d,36,72,1.728
us-east-1,c5d,72,144,3.456
us-east-1,c4,2,3.75,0.1
us-east-1,c4,4,7.5,0.199
us-east-1,c4,8,15,0.398
us-east-1,c4,16,30,0.796
us-east-1,c4,36,60,1.591
us-east-1,p2,4,61,0.9
us-east-1,p2,32,488,7.2
us-east-1,p2,64,732,14.4
us-east-1,p3,8,61,3.06
us-east-1,p3,32,244,12.24
us-east-1,p3,64,488,24.48
us-east-1,g3,16,122,1.14
us-east-1,g3,32,244,2.28
us-east-1,g3,64,488,4.56
us-east-1,f1,8,122,1.65
us-east-1,f1,64,976,13.2
us-east-1,x1,64,976,6.669
us-east-1,x1,128,1952,13.338
us-east-1,x1e,4,122,0.834
us-east-1,x1e,8,244,1.668
us-east-1,x1e,16,488,3.336
us-east-1,x1e,32,976,6.672
us-east-1,x1e,64,1952,13.344
us-east-1,x1e,128,3904,26.688
us-east-1,r4,2,15.25,0.133
us-east-1,r4,4,30.5,0.266
us-east-1,r4,8,61,0.532
us-east-1,r4,16,122,1.064
us-east-1,r4,32,244,2.128
us-east-1,r4,64,488,4.256
us-east-1,i3,2,15.25,0.156
us-east-1,i3,4,30.5,0.312
us-east-1,i3,8,61,0.624
us-east-1,i3,16,122,1.248
us-east-1,i3,32,244,2.496
us-east-1,i3,64,488,4.992
us-east-1,i3,72,512,4.992
us-east-1,h1,8,32,0.468
us-east-1,h1,16,64,0.936
us-east-1,h1,32,128,1.872
us-east-1,h1,64,256,3.744
us-east-1,d2,4,30.5,0.69
us-east-1,d2,8,61,1.38
us-east-1,d2,16,122,2.76
us-east-1,d2,36,244,5.52
