Run,Cloud,Job Conf,Workflow,History,Server,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes),Memory Soft Limit
1,eks,8x16,87c00f0d56a50d17,8503687c15b4a08f,http://a8e3c9d346a6f4cc7925d8a406fb8167-1577241336.us-east-1.elb.amazonaws.com,bwa,0.7.17.4,ok,8.0000000,16000.0000000,301.0000000,1745669311679.0000000,16000000000.0000000,11308535808.0000000,9223372036854771712.0000000
1,eks,8x16,87c00f0d56a50d17,8503687c15b4a08f,http://a8e3c9d346a6f4cc7925d8a406fb8167-1577241336.us-east-1.elb.amazonaws.com,bowtie2,2.4.2+galaxy0,ok,8.0000000,16000.0000000,114.0000000,871051415623.0000000,16000000000.0000000,7083204608.0000000,9223372036854771712.0000000
1,eks,8x16,87c00f0d56a50d17,8503687c15b4a08f,http://a8e3c9d346a6f4cc7925d8a406fb8167-1577241336.us-east-1.elb.amazonaws.com,hisat2,2.1.0+galaxy7,ok,8.0000000,16000.0000000,30.0000000,189056566279.0000000,16000000000.0000000,8805646336.0000000,9223372036854771712.0000000
1,eks,8x16,87c00f0d56a50d17,8503687c15b4a08f,http://a8e3c9d346a6f4cc7925d8a406fb8167-1577241336.us-east-1.elb.amazonaws.com,stringtie,2.1.1,ok,8.0000000,16000.0000000,33.0000000,81778983099.0000000,16000000000.0000000,27250688.0000000,9223372036854771712.0000000
1,eks,8x16,87c00f0d56a50d17,8503687c15b4a08f,http://a8e3c9d346a6f4cc7925d8a406fb8167-1577241336.us-east-1.elb.amazonaws.com,bwa_mem,0.7.17.1,ok,8.0000000,16000.0000000,152.0000000,1050176675368.0000000,16000000000.0000000,13167382528.0000000,9223372036854771712.0000000
